age,monthly_revenue,debt_ratio,rated_exposure,serious_delinquencies_in_past_2_years,composite_overdue
47,5329.0,0.498124,3.0,0,0
82,5166.0,175.0,0.0,0,0
74,2750.0,1.157397,0.0,1,30
62,3199.0,0.400313,0.0,0,0
51,1660.0,2.210114,0.0,0,0
37,3923.0,0.575943,1.0,0,0
69,1500.0,1.091272,0.0,0,0
35,2666.0,0.304462,2.0,1,0
34,2747.0,0.008734,4.0,0,90
44,13500.0,0.388193,2.0,1,270
36,10250.0,0.438104,2.0,0,30
58,5014.0,0.744167,0.0,1,0
44,5166.0,2591.0,0.0,1,60
52,5000.0,0.072386,3.0,0,0
79,3075.0,0.005852,0.0,0,0
71,5853.0,0.101469,0.0,0,0
47,6250.0,0.786434,0.0,0,0
39,3500.0,0.7515,3.0,0,0
40,5200.0,0.524707,1.0,0,90
60,5166.0,521.0,0.7896281800391389,1,60
45,10000.0,0.170883,1.0,0,0
70,1505.0,0.054449,0.0,0,0
54,1600.0,0.527795,1.0,1,0
49,5950.0,0.465804,2.0,0,0
48,4024.0,0.344596,1.0,0,30
47,7333.0,0.453641,0.0,1,390
25,1463.0,0.101093,1.0,1,0
38,7632.0,0.435871,2.0,0,30
53,5166.0,2829.0,0.0,1,0
36,9300.0,0.05322,4.0,0,0
62,6100.0,0.375348,0.0,0,240
28,2925.0,0.0,0.0,1,0
44,4000.0,0.555111,0.0,0,90
63,5166.0,183.0,0.0,0,0
36,3420.0,0.496638,2.0,0,330
53,14000.0,0.192629,1.0,0,0
42,5166.0,5152.0,0.0,1,0
49,5750.0,0.383238,0.0,0,30
63,6250.0,0.191649,1.0,0,60
66,4833.0,0.088333,0.0,0,0
60,5166.0,2102.0,0.0,0,0
54,7666.0,0.56241,0.0,0,60
43,6968.0,0.257282,0.0,0,0
33,5079.0,0.286417,0.0,1,90
46,3333.0,0.188362,0.0,0,0
31,1600.0,0.0,0.0,1,180
64,5166.0,7335.0,0.0,0,0
84,4583.0,0.266361,0.0,0,0
43,4400.0,0.553965,2.0,1,390
68,5000.0,0.543491,0.0,0,30
36,5166.0,0.0,0.0,1,180
28,5166.0,541.0,0.0,1,150
29,2720.0,0.219772,2.0,1,60
64,5166.0,1715.0,0.0,0,0
27,3200.0,0.149328,0.0,0,0
68,5166.0,123.0,0.0,0,0
63,1852.0,0.445764,0.0,0,0
74,7147.0,0.478595,0.0,0,0
42,7900.0,0.423238,1.0,0,0
49,6250.0,0.25068,0.0,0,0
24,1700.0,0.048207,0.0,1,0
44,4549.0,0.790549,1.0,1,0
49,7163.0,0.305137,3.0,1,210
48,6999.0,0.158286,3.0,1,210
69,11000.0,0.010181,1.0,0,0
32,10000.0,0.10189,0.0,0,0
44,7200.0,0.149424,3.0,0,30
38,4500.0,0.243279,3.0,0,30
27,2400.0,0.0,1.0,1,0
66,5166.0,911.0,0.0,0,0
69,1900.0,0.024198,0.0,0,0
75,5166.0,659.0,0.0,0,0
61,4377.0,0.440384,0.0,0,0
55,2560.0,0.509176,0.0,0,30
49,2500.0,0.002399,0.0,0,30
25,1500.0,0.123251,0.0,0,0
34,5166.0,2684.0,0.0,1,120
53,4166.0,0.360451,0.0,0,0
77,10416.0,0.001824,0.0,0,0
66,5166.0,4562.0,0.0,1,0
33,7000.0,0.308527,1.0,0,0
60,12500.0,0.238381,0.0,1,30
34,8888.0,0.000225,1.0,0,0
49,6800.0,0.473607,2.0,1,90
41,1.0,306.5,4.0,0,0
55,7374.0,0.563525,1.0,0,0
61,23400.0,0.35037,1.0,0,0
82,3120.0,0.376161,0.0,0,0
26,4000.0,0.354411,0.0,1,420
57,5166.0,2222.0,0.0,1,120
54,7250.0,0.182733,1.0,0,0
87,1100.0,0.52861,0.0,0,0
27,4500.0,0.291491,1.0,0,0
56,6200.0,0.224964,1.0,0,0
50,8999.0,0.316222,2.0,0,30
36,1800.0,0.006663,1.0,0,0
31,15800.0,0.106322,1.0,0,30
54,1000.0,0.839161,0.0,0,0
66,9200.0,0.001196,0.0,1,60
62,7000.0,0.550064,0.0,0,30
39,5166.0,453.0,0.0,1,480
34,1500.0,3.391073,0.0,0,0
55,5166.0,2776.0,0.0,1,30
32,3200.0,0.95314,1.0,0,0
48,5166.0,514.0,1.0,0,60
57,11036.0,0.14397,0.0,0,0
34,6000.0,0.127145,3.0,0,0
60,4915.0,0.469081,1.0,0,180
23,5166.0,2.0,0.7896281800391389,0,0
29,3333.0,0.221656,0.0,0,30
70,1.0,1470.0,1.0,0,0
50,3785.0,0.357898,1.0,0,30
42,1800.0,0.716269,0.0,1,660
35,11000.0,0.309972,1.0,0,0
47,5100.0,0.13566,2.0,1,420
53,2726.0,0.661533,3.0,0,0
50,10962.0,0.772234,4.0,1,570
29,4250.0,0.171254,0.0,0,0
54,2756.0,0.012332,0.0,1,60
35,2105.0,1.533713,2.0,1,30
43,4134.0,0.102297,4.0,0,0
66,5166.0,2180.0,0.7896281800391389,0,0
71,7701.0,0.785251,1.0,1,0
58,8600.0,0.485874,0.0,0,0
41,5166.0,2006.0,0.7896281800391389,0,0
33,3500.0,0.242217,0.0,1,120
42,7000.0,0.065848,0.0,0,0
35,3813.0,0.160199,3.0,0,0
63,5343.0,0.063249,0.0,0,0
60,2255.0,0.275266,0.0,1,270
51,2000.0,0.363818,0.0,0,0
36,3960.0,0.277455,2.0,1,390
55,3900.0,0.32607,0.0,0,0
27,3120.0,0.153156,0.0,1,0
71,5116.0,0.213993,0.0,0,0
43,5870.0,0.634815,4.0,1,60
63,12500.0,0.290697,0.0,0,0
45,2019.0,1.929208,0.0,1,270
40,5166.0,510.0,0.0,0,0
49,5300.0,0.594605,3.0,1,120
38,5500.0,0.274496,0.0,0,0
41,2066.0,0.024673,0.0,0,0
57,5415.0,0.971566,0.0,1,0
60,5166.0,655.0,0.0,0,0
63,3000.0,0.832056,0.0,0,0
42,5166.0,77.0,0.0,0,0
75,5166.0,20.0,0.0,0,0
42,5040.0,0.777623,2.0,0,0
34,4625.0,0.40294,0.0,0,180
55,13000.0,0.339282,2.0,0,30
49,7862.0,0.386367,2.0,1,120
76,2500.0,0.013994,0.0,0,0
56,8166.0,0.054732,0.0,0,30
76,500.0,0.439122,0.0,0,0
38,1000.0,0.0,1.0,1,0
68,7350.0,0.289893,0.0,0,30
62,7838.0,0.35081,0.0,0,0
53,5333.0,0.71991,1.0,0,0
42,1600.0,0.797626,0.0,0,0
53,5166.0,4177.0,0.7896281800391389,0,0
57,4600.0,0.157574,1.0,0,0
27,7.0,12.5,0.0,0,0
33,5000.0,0.063587,0.0,0,0
57,2800.0,0.59336,0.0,0,0
61,6175.0,0.354113,0.0,1,330
59,1900.0,0.903209,0.0,0,90
51,4333.0,0.929395,2.0,0,0
33,4176.0,0.237012,0.0,1,0
42,5400.0,0.603777,2.0,1,60
46,9900.0,0.330977,2.0,0,0
60,1200.0,2.646128,2.0,1,240
32,4633.0,0.104661,1.0,0,0
47,4772.0,0.728263,2.0,0,60
37,22000.0,0.215627,2.0,1,0
69,10000.0,0.148885,0.0,0,0
40,4958.0,0.31095,1.0,1,30
39,5166.0,6003.0,0.0,0,0
51,3750.0,1.068515,0.0,1,120
38,2975.0,0.975806,0.0,1,0
43,4072.0,0.969556,0.0,1,0
26,1550.0,1.92392,0.0,1,0
32,2584.0,0.229787,4.0,0,0
64,5000.0,0.207159,0.0,0,0
64,6000.0,0.307615,3.0,0,0
43,6000.0,0.417264,0.0,1,0
55,3950.0,0.563908,0.0,1,30
60,8830.0,0.417733,0.0,1,0
47,5166.0,3221.0,0.0,0,0
38,6700.0,0.186241,0.0,0,0
38,2400.0,0.023324,2.0,1,30
63,5166.0,4206.0,0.0,1,90
32,6006.0,0.600966,1.0,0,240
29,3438.0,0.164292,1.0,0,0
35,2877.0,0.793259,0.0,1,270
46,9700.0,0.278322,1.0,0,0
28,2200.0,0.270332,0.0,1,150
78,5166.0,2.0,0.0,0,0
76,5166.0,3548.0,0.0,0,0
66,5166.0,64.0,0.0,0,0
51,6000.0,0.496417,3.0,0,30
45,8046.0,0.138312,2.0,1,0
54,3800.0,0.409892,2.0,0,0
72,2401.0,0.387594,0.0,0,0
53,5166.0,3381.0,0.0,0,30
74,5326.0,0.208185,1.0,0,0
35,6666.0,0.426429,2.0,1,30
53,4365.0,0.879524,2.0,0,30
33,6954.0,0.345219,2.0,0,0
60,4253.0,0.104137,0.0,1,120
54,4620.0,0.402727,2.0,1,0
52,5720.0,0.396259,0.0,0,60
57,13632.0,0.123084,0.0,0,0
73,0.0,536.0,1.0,0,0
57,5166.0,2543.0,1.0,0,0
27,4432.0,0.078051,0.0,0,0
33,4500.0,0.26994,3.0,1,0
32,1000.0,0.919081,0.0,1,240
76,5435.0,0.009198,0.0,0,0
59,5088.0,0.17921,0.0,0,0
54,5473.0,0.783522,3.0,0,0
27,7500.0,0.052393,0.0,0,0
25,3600.0,0.270758,1.0,1,150
54,9616.0,0.243839,1.0,0,0
42,3254.0,0.083564,4.0,1,120
44,750.0,0.356858,0.0,1,30
44,4933.0,0.837454,0.0,0,0
26,2500.0,0.132747,0.0,0,0
41,4200.0,0.233278,2.0,1,330
59,4500.0,0.505888,1.0,0,0
53,5166.0,1513.0,1.0,1,0
40,5166.0,973.0,2.0,0,0
44,3833.0,0.350548,0.0,1,0
30,3500.0,0.15367,0.0,1,240
30,5417.0,0.253045,2.0,0,0
31,3300.0,0.275977,2.0,1,150
59,2600.0,0.000769,0.0,1,150
50,5166.0,990.0,0.0,1,150
61,4831.0,0.656664,0.0,1,210
47,3104.0,0.689211,0.0,0,0
76,4166.0,0.00312,0.0,0,0
38,7166.0,0.284777,0.0,1,90
51,7350.0,0.258196,2.0,0,0
49,21533.0,0.649902,0.0,1,0
28,6250.0,0.121581,0.0,0,0
39,5377.0,0.26534,1.0,0,0
59,5416.0,0.400037,0.0,1,0
58,5166.0,1559.0,0.0,0,0
31,2665.0,0.735934,0.0,1,450
51,10600.0,0.136402,2.0,0,0
59,5200.0,0.453567,0.0,1,90
45,5800.0,0.423548,0.0,1,330
59,5893.0,0.223787,1.0,1,180
50,2941.0,0.418763,0.0,0,0
59,5416.0,0.0,0.0,0,0
42,2279.0,0.145175,3.0,1,0
42,4208.0,0.65455,0.0,0,0
78,5166.0,3775.0,0.7896281800391389,0,120
49,3770.0,0.147971,0.0,0,0
50,10890.0,0.795703,0.0,1,0
67,5166.0,1525.0,0.0,0,0
62,12833.0,0.54527,0.0,0,0
64,5000.0,0.35113,0.0,0,0
25,850.0,0.0,0.0,0,0
42,7000.0,0.416226,1.0,0,0
56,4166.0,0.87953,2.0,1,90
43,3750.0,2.153559,2.0,0,0
55,9766.0,0.246135,1.0,0,0
41,10750.0,0.17496,3.0,0,0
55,5000.0,0.45211,0.0,0,0
67,7800.0,0.759262,2.0,0,60
55,4505.0,1.023302,0.0,0,0
75,2300.0,0.505867,0.0,0,30
62,3135.0,0.056441,0.0,1,270
32,1600.0,0.412867,4.0,0,150
78,5000.0,0.014397,0.0,0,0
57,8583.0,0.491146,0.0,0,0
82,5166.0,2.0,0.7896281800391389,0,0
57,4595.0,0.509574,1.0,1,210
47,5166.0,650.0,0.0,0,30
49,3162.0,0.071451,0.0,1,450
67,5166.0,2715.0,0.0,0,0
38,7259.0,0.55427,1.0,0,0
55,5443.0,0.701323,0.0,0,0
31,8500.0,0.588401,0.0,0,0
27,4250.0,0.070807,1.0,0,60
82,5166.0,0.0,0.7896281800391389,0,0
37,4861.0,0.374126,2.0,0,0
51,7361.0,0.356153,2.0,0,0
60,5000.0,0.682264,0.0,1,180
54,7480.0,1.196498,2.0,1,60
45,5166.0,1815.0,0.0,0,0
21,1.0,0.0,0.0,0,0
49,8335.0,0.133397,1.0,0,60
43,13800.0,0.230635,2.0,0,0
40,900.0,2.688124,3.0,1,0
64,3000.0,0.137954,0.0,0,0
57,6034.0,0.299089,1.0,0,0
42,5000.0,0.683063,2.0,0,0
41,7250.0,0.506275,3.0,1,180
56,2786.0,0.006817,0.0,0,0
64,5166.0,99.0,0.0,0,0
50,10750.0,0.297461,2.0,0,0
54,5166.0,1343.0,0.0,0,0
23,5166.0,111.0,0.0,1,240
58,6800.0,0.410528,0.0,1,0
33,8515.0,0.030296,0.0,0,0
42,5166.0,5671.0,0.0,0,0
55,10000.0,0.374363,1.0,0,0
67,3160.0,1.523252,0.0,1,30
38,3000.0,0.362213,0.0,0,180
47,3270.0,0.313666,2.0,1,240
51,6914.0,0.33449,2.0,0,0
35,3800.0,0.364641,0.0,1,60
61,2050.0,1.732326,0.0,1,0
62,7900.0,0.153019,0.0,1,0
59,3000.0,1.168944,1.0,1,0
37,8900.0,0.268284,3.0,1,0
42,2600.0,1.131103,2.0,1,30
42,7350.0,0.393144,1.0,1,90
49,12450.0,0.413862,2.0,0,0
42,1300.0,0.714066,2.0,1,0
50,2000.0,0.191404,3.0,1,90
36,5000.0,0.394921,2.0,1,120
32,3383.0,0.638593,1.0,1,60
60,10416.0,0.198522,2.0,0,180
66,5166.0,185.0,0.0,0,0
73,4000.0,0.006498,0.0,0,0
60,18200.0,0.267183,0.0,0,0
31,2857.0,0.145906,0.0,1,0
49,5380.0,0.253484,2.0,1,30
61,10000.0,0.0025,1.0,0,0
58,6666.0,0.414729,0.0,1,0
49,3900.0,0.026403,0.0,0,60
78,4516.0,0.262785,0.0,0,0
41,9300.0,0.321686,0.0,0,0
26,2200.0,0.1204,0.0,1,0
60,5427.0,0.148305,1.0,1,0
63,5467.0,0.106072,0.0,1,210
47,5573.0,0.221206,2.0,1,180
42,5000.0,0.581884,0.0,1,60
37,9314.0,0.513795,0.0,0,0
54,12000.0,0.260895,2.0,0,0
59,3243.0,0.423551,0.0,0,60
74,1300.0,0.279016,0.0,0,0
88,5166.0,664.0,0.0,0,30
31,10000.0,0.309669,0.0,0,0
53,5984.0,0.572932,1.0,0,90
35,5166.0,2323.0,0.0,1,390
54,4583.0,0.375436,1.0,1,0
48,3750.0,0.446548,0.0,0,0
69,3500.0,0.008855,0.0,0,0
25,5166.0,291.0,0.7896281800391389,0,0
55,13000.0,0.151988,1.0,1,90
50,12000.0,0.251479,1.0,0,0
50,10334.0,0.162361,3.0,1,120
49,4741.0,0.256432,1.0,0,0
52,2000.0,0.014993,0.0,0,0
34,6400.0,0.248242,0.0,0,0
47,4500.0,1.813375,3.0,1,90
46,7667.0,0.292123,2.0,0,0
34,2000.0,0.95902,0.0,1,0
37,6500.0,0.005691,0.0,1,0
31,2620.0,0.004197,2.0,0,90
23,1560.0,0.02114,0.0,1,150
35,4000.0,0.202949,0.0,0,30
64,5587.0,0.004832,0.0,0,0
90,5166.0,0.0,0.0,0,0
46,3600.0,0.768675,3.0,1,270
84,2400.0,0.114952,0.0,0,0
50,5166.0,1896.0,0.0,1,60
43,5663.0,0.696328,0.0,1,30
42,5166.0,0.0,2.0,1,0
39,5166.0,911.0,0.0,0,0
68,7500.0,0.342754,0.0,1,30
39,9228.0,0.203597,0.0,0,0
77,5166.0,90.0,0.0,0,0
74,5501.0,0.68048,0.0,1,0
42,5166.0,2449.0,0.0,1,570
71,2571.0,2.022939,0.0,1,0
31,5166.0,994.0,0.0,1,30
22,280.0,0.174377,0.0,1,180
49,11482.0,0.000174,0.0,1,0
44,5166.0,54.0,0.0,1,180
50,4000.0,0.412147,0.0,0,0
60,3600.0,0.01444,0.0,1,0
62,6340.0,0.755401,0.0,0,0
64,5166.0,1962.0,0.0,0,60
36,20000.0,0.39063,1.0,0,0
70,4500.0,0.542768,0.0,1,0
48,11083.0,0.488993,1.0,1,60
63,3770.0,0.535137,0.0,0,0
44,3750.0,0.603306,1.0,0,0
40,8000.0,0.306837,2.0,0,0
40,5333.0,0.365017,0.0,0,90
69,8208.0,0.099525,1.0,0,0
66,5166.0,48.0,0.0,0,0
58,10000.0,0.648035,2.0,0,30
84,0.0,0.0,0.0,0,0
72,2500.0,0.0,0.0,0,0
31,3600.0,0.024993,3.0,0,150
57,11710.0,0.275041,0.0,0,0
75,2077.0,0.067854,0.0,0,0
44,2970.0,0.468529,0.0,0,0
46,2335.0,0.831764,3.0,1,510
55,5166.0,1768.0,0.0,0,0
63,7139.0,0.268207,1.0,0,90
50,3300.0,0.141472,3.0,1,210
41,1520.0,0.167653,0.0,1,0
62,5698.0,0.192841,0.0,0,0
64,10491.0,0.106271,0.0,0,0
33,8916.0,0.376808,1.0,0,0
85,5800.0,0.141183,0.0,1,0
39,5646.0,0.191606,3.0,1,30
55,11774.0,0.413673,0.0,0,0
59,10667.0,0.360049,0.0,1,30
64,5166.0,1307.0,0.7896281800391389,0,0
39,7820.0,0.131313,3.0,0,0
51,4230.0,0.170409,0.0,1,0
66,5000.0,0.052989,0.0,0,0
47,18275.0,0.220946,0.0,1,0
28,2550.0,0.109761,0.0,0,30
71,12600.0,0.002063,0.0,0,0
38,5166.0,940.0,0.0,1,30
49,6500.0,0.287802,2.0,0,0
79,4915.0,0.456469,0.0,0,0
63,11288.0,0.175215,3.0,0,0
29,8500.0,0.644395,1.0,0,0
68,5000.0,0.216757,0.0,0,60
44,12604.0,0.509322,2.0,0,0
38,3332.0,0.274227,3.0,0,0
58,5400.0,0.021663,0.0,0,0
88,1200.0,0.022481,0.0,0,0
41,15000.0,0.860609,3.0,1,30
50,5644.0,0.230292,0.0,1,0
33,8678.0,0.143104,0.0,0,30
52,3200.0,1.821306,0.0,1,270
51,5720.0,0.003671,0.0,0,0
35,4500.0,0.179071,3.0,1,270
41,3779.0,0.149471,2.0,0,240
53,5166.0,1076.0,0.0,0,30
38,9280.0,0.241353,3.0,0,0
48,7250.0,0.096814,2.0,1,300
26,820.0,0.71011,0.0,0,0
35,10250.0,0.281046,2.0,0,0
52,2600.0,0.749712,1.0,1,0
61,4600.0,0.762878,1.0,0,0
73,3333.0,0.020396,0.0,1,0
40,7936.0,0.407837,0.0,0,0
82,3050.0,0.009177,0.0,0,0
80,750.0,0.331558,0.0,1,0
29,1880.0,0.059543,0.0,1,270
53,14749.0,0.480881,2.0,0,0
54,1700.0,0.352146,0.0,1,0
49,5145.0,0.281578,0.0,0,0
45,7000.0,0.357949,0.0,0,0
62,9884.0,0.187152,2.0,0,0
36,1350.0,0.196151,2.0,0,0
46,8000.0,0.129609,2.0,0,0
60,11224.0,0.943875,2.0,0,120
75,13000.0,0.295823,1.0,0,0
67,5166.0,1915.0,1.0,0,0
49,5166.0,3995.0,0.0,0,30
62,3700.0,0.184004,0.0,0,0
46,5000.0,0.253949,0.0,1,0
50,10500.0,0.1976,0.0,0,0
34,1290.0,0.573199,0.0,0,0
53,5500.0,0.432467,1.0,0,0
36,10000.0,0.566143,0.0,0,0
34,4583.0,0.10733,0.0,0,0
49,5000.0,0.006199,0.0,0,0
45,5166.0,735.0,0.0,1,150
63,5166.0,2582.0,0.0,1,30
28,2750.0,0.267539,0.0,1,0
60,11308.0,0.328057,0.0,0,60
67,5000.0,0.238752,0.0,0,0
26,900.0,0.0,0.0,0,0
40,5166.0,3483.0,0.7896281800391389,1,120
37,3757.0,0.408994,1.0,0,0
28,3294.0,0.2,0.0,1,150
23,1923.0,0.074324,0.0,1,30
59,15997.0,0.410051,1.0,0,0
29,1900.0,0.38243,1.0,1,60
75,2600.0,0.798539,0.0,0,90
58,5166.0,2831.0,0.7896281800391389,0,0
70,12333.0,0.43295,0.0,1,300
41,5294.0,0.10916,4.0,1,420
39,5000.0,1.232553,1.0,1,360
46,5166.0,1806.0,0.0,1,120
60,1000.0,0.297702,0.0,1,150
25,2500.0,0.0,0.0,0,90
57,2927.0,0.275273,0.0,0,0
53,10000.0,0.241776,2.0,0,0
72,5166.0,1178.0,0.0,0,0
41,5166.0,259.0,0.0,1,300
50,3750.0,0.303652,0.0,0,0
31,3300.0,0.013329,0.0,0,30
51,6600.0,0.01318,2.0,0,0
69,1500.0,0.01932,0.0,0,0
57,0.0,2945.0,0.0,1,0
47,7350.0,0.426609,0.0,0,0
44,3250.0,0.307598,3.0,0,0
52,5833.0,0.344532,0.0,0,0
51,2156.0,0.043579,0.0,0,30
48,1.0,1329.5,1.0,0,0
63,23833.0,0.374045,0.0,0,0
68,3800.0,0.412523,1.0,0,0
30,4300.0,0.02418,1.0,1,90
52,15000.0,0.40324,2.0,0,60
62,9832.0,0.000102,1.0,0,0
46,8700.0,0.286059,1.0,0,90
78,5000.0,0.060988,0.0,0,0
61,7550.0,0.521918,3.0,0,0
46,7000.0,0.342237,3.0,0,0
29,4966.0,0.0,0.0,0,30
28,3750.0,0.02666,0.0,0,0
76,900.0,0.085461,0.0,0,0
48,4584.0,0.362923,0.0,1,0
47,11750.0,0.47647,2.0,1,0
62,2100.0,0.260352,0.0,1,0
58,7221.0,0.339103,2.0,0,0
24,1990.0,0.127574,0.0,0,0
43,9100.0,0.163059,2.0,0,0
74,5166.0,36.0,0.0,1,210
38,2432.0,0.210029,0.0,0,0
56,4500.0,0.104643,1.0,0,0
52,9763.0,0.496313,0.0,0,60
71,2833.0,0.563162,0.0,0,0
64,13370.0,0.1504,0.0,0,0
65,3000.0,0.238254,1.0,0,0
32,6110.0,0.27606,2.0,1,0
42,9533.0,0.242605,0.0,0,0
46,3000.0,0.122293,0.0,1,210
54,11000.0,0.222253,0.0,0,0
50,5500.0,0.238866,1.0,0,60
43,10000.0,0.19678,0.0,1,0
65,1.0,1996.5,0.0,0,0
34,8500.0,0.401247,0.0,0,0
57,4500.0,0.440569,0.0,0,0
43,4800.0,0.423453,1.0,0,0
69,5166.0,2119.0,0.0,0,60
37,4290.0,0.347938,0.0,0,90
27,1875.0,0.205224,1.0,0,0
41,1600.0,0.329169,2.0,1,150
37,4650.0,0.914642,3.0,1,30
72,4200.0,1.452987,0.0,0,0
56,5166.0,1558.0,0.0,0,0
57,5166.0,1588.0,0.7896281800391389,0,0
45,6635.0,0.200874,2.0,0,30
67,6000.0,0.446259,1.0,1,0
44,9166.0,0.295735,2.0,0,0
52,2685.0,0.27997,3.0,1,60
36,5166.0,362.0,0.0,0,150
78,3000.0,0.563146,0.0,1,30
65,10500.0,0.11237,1.0,0,60
35,3000.0,0.356215,0.0,1,30
32,11250.0,0.195894,0.0,0,0
47,4600.0,0.09824,1.0,0,120
48,8700.0,0.280083,0.0,0,0
51,8787.0,0.608785,2.0,1,90
25,1095.0,0.307482,0.0,0,0
59,17834.0,0.14707,0.0,0,0
40,5166.0,2291.0,1.0,0,0
50,5845.0,0.694834,2.0,1,90
55,9000.0,0.009221,0.0,0,0
44,6300.0,0.465482,2.0,0,120
24,3166.0,0.086517,0.0,0,0
73,1600.0,0.006246,0.0,0,0
63,1993.0,0.275326,0.0,0,0
63,5217.0,0.348984,0.0,0,0
72,4961.0,0.085248,0.0,0,0
54,5166.0,413.0,0.0,1,30
44,11700.0,0.187591,0.0,0,0
58,5200.0,0.039223,0.0,0,0
24,1900.0,0.227775,0.0,1,90
57,10595.0,0.473481,1.0,1,0
25,5166.0,0.0,1.0,1,0
31,5166.0,419.0,0.7896281800391389,1,480
65,11800.0,0.210914,0.0,0,0
31,1200.0,0.417152,0.0,1,0
59,5166.0,2263.0,0.7896281800391389,0,0
45,7000.0,0.723182,0.0,0,0
65,4630.0,0.094364,1.0,0,0
79,5166.0,60.0,0.0,0,0
44,11000.0,0.110263,0.0,0,0
69,1200.0,12.543714,1.0,0,0
42,5166.0,884.0,0.0,0,0
33,4500.0,0.500333,3.0,1,240
61,1710.0,0.884278,0.0,0,0
53,7366.0,0.810506,2.0,1,0
27,5166.0,964.0,0.0,0,0
46,0.0,3966.0,2.0,0,0
41,7200.0,0.191085,0.0,0,0
56,5556.0,0.257873,0.0,0,0
38,20000.0,0.070796,1.0,0,30
47,2300.0,0.009561,0.0,1,60
81,5166.0,0.0,0.0,0,0
